stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
131,1135,"Ridgetop at Derryfield",,47.662197,-122.667508,,,,,,0
132,1136,"Ridgetop at Marigold Drive",,47.664124,-122.666986,,,,,,0
133,1137,"Ridgetop at Quail Run Drive (South)",,47.665988,-122.668552,,,,,,0
134,1138,"Ridgetop at Quail Run Drive (North)",,47.669359,-122.667265,,,,,,0
135,1139,"Ridgetop at Timber Shadow",,47.671287,-122.665940,,,,,,0
136,1140,"Ridgetop at Plateau",,47.678732,-122.670939,,,,,,0
137,1141,"Ridgetop at Gallery",,47.682915,-122.670427,,,,,,0
138,1142,"Viking Ave at Liberty",,47.741764,-122.657830,,,,,,0
139,1143,"Viking Ave at Nordic Cove",,47.721637,-122.660925,,,,,,0
140,1144,"Hwy 104 at Balmoral",,47.809386,-122.530872,,,,,,0
141,1145,"Hwy 104 at Balmoral",,47.809547,-122.531069,,,,,,0
142,1146,"Indianola Rd at 22931",,47.770619,-122.555433,,,,,,0
143,1147,"Indianola Rd at Gerald Cliff",,47.751790,-122.542063,,,,,,0
144,1148,"Indianola at View Ridge",,47.754486,-122.538795,,,,,,0
145,1149,"S. Kitsap at Maple",,47.753694,-122.531236,,,,,,0
146,1150,"20738 S Kitsap",,47.750852,-122.531290,,,,,,0
147,1151,"Kitsap St at Seaview Ave",,47.748449,-122.531246,,,,,,0
148,1152,"Shore at Kingston",,47.747880,-122.528168,,,,,,0
149,1153,"Indianola Rd at Evergreen",,47.750517,-122.525616,,,,,,0
150,1154,"Indianola Rd at Spruce",,47.751761,-122.525539,,,,,,0
151,1155,"Indianola Rd at Kitsap",,47.755714,-122.530861,,,,,,0
152,1156,"Indianola Rd at Orca",,47.755496,-122.538348,,,,,,0
153,1157,"Indianola Rd at Gerald Cliff",,47.752021,-122.541869,,,,,,0
154,1158,"John Carlson at Hwy 303",,47.632150,-122.627887,,,,,,0
155,1159,"John Carlson at Lazy S",,47.632158,-122.620727,,,,,,0
156,1160,"McWilliams Park & Ride",,47.621039,-122.628061,,,,,,0
157,1161,"John Carlson at Lazy S",,47.632328,-122.620339,,,,,,0
158,1162,"John Carlson at Hwy 303",,47.632269,-122.627549,,,,,,0
159,1163,"Olalla Valley & Ebbert",,47.473247,-122.572469,,,,,,0
160,1164,"Washington Ave at 4th",,47.565891,-122.624066,,,,,,0
161,1165,"Oyster Bay at Conch",,47.562354,-122.673093,,,,,,0
162,1166,"Oyster Bay at Bay Vista",,47.564475,-122.673231,,,,,,0
163,1167,"Sunset at Aegean",,47.623786,-122.607586,,,,,,0
164,1168,"Aegean at 72nd",,47.628836,-122.612451,,,,,,0
165,1169,"Hostmark at Front St",,47.733277,-122.645028,,,,,,0
166,117,"Almira at Hollis",,47.602452,-122.623825,,,,,,0
167,1170,"Sheridan at Rickey",,47.588167,-122.643164,,,,,,0
168,1171,"Sheridan at Rickey",,47.588197,-122.643432,,,,,,0
169,1172,"Aegean at John Carlson",,47.630379,-122.612640,,,,,,0
170,1173,"Olalla Valley & Ebbert",,47.473610,-122.572276,,,,,,0
171,1174,"Ostrich Bay at Bay Vista",,47.568022,-122.680736,,,,,,0
172,118,"Almira at Hope",,47.600469,-122.623958,,,,,,0
173,1183,"Indianola at Miller Bay (Hatchery)",,47.770754,-122.555238,,,,,,0
174,119,"Almira at Nome",,47.598179,-122.624110,,,,,,0
175,1192,"Southworth at Marjorie",,47.522014,-122.533653,,,,,,0
176,1193,"Southworth Across from Post Office",,47.522590,-122.523080,,,,,,0
177,1194,"Southworth at Marjorie",,47.522039,-122.533624,,,,,,0
178,1195,"Southworth at Anderson",,47.522068,-122.537526,,,,,,0
179,1196,"Chester at California",,47.552125,-122.556594,,,,,,0
180,1197,"California at E Collins",,47.548434,-122.556691,,,,,,0
181,1198,"California at Cleveland",,47.538456,-122.556953,,,,,,0
182,1199,"Sidney at Hovde Rd",,47.504036,-122.652907,,,,,,0
183,120,"Almira at Spruce",,47.596981,-122.624123,,,,,,0
184,1200,"Madison at Idel Weiss Ln",,47.671127,-122.521145,,,,,,0
185,1202,"Olympic College at Advance Ln",,47.764697,-122.659103,,,,,,0
186,1203,"Olympic College at Advance Ln",,47.764390,-122.659001,,,,,,0
187,1204,"Market Place at Walmart",,47.758249,-122.660482,,,,,,0
188,1205,"Kitsap Mall Blvd at Plaza Rd",,47.656203,-122.692887,,,,,,0
189,1206,"Randall Way at Plaza Rd (Target)",,47.657270,-122.695572,,,,,,0
190,1207,"Sidney at Hovde Rd",,47.503569,-122.652711,,,,,,0
191,1208,"Suquamish Way stop after Firs",,47.724548,-122.566566,,,,,,0
192,1209,"Suquamish Way stop after Totten",,47.723976,-122.567157,,,,,,0
193,121,"Almira at Sylvan",,47.595946,-122.624113,,,,,,0
194,1210,"Division at Pear St",,47.730446,-122.558332,,,,,,0
195,1211,"Ridgetop at Mickelberry",,47.654013,-122.682829,,,,,,0
196,1212,"Myhre at Bucklin Hill",,47.651731,-122.677025,,,,,,0
197,1213,"20973 Indianola Rd",,47.753420,-122.546471,,,,,,0
198,1214,"Miller Bay at Indianola",,47.775552,-122.555846,,,,,,0
199,1215,"Indianola Rd at 20973",,47.753521,-122.546868,,,,,,0
200,1216,"Miller Bay at Heritage Park",,47.784815,-122.545656,,,,,,0
201,1217,"Miller Bay at Heritage Park",,47.785048,-122.545500,,,,,,0
203,1219,"11th St. at Pacific",,47.571140,-122.627400,,,,,,0
204,122,"Sylvan Way at Halverson",,47.595560,-122.622416,,,,,,0
205,1220,"11th St. at Park",,47.571164,-122.630628,,,,,,0
206,1221,"6th St. at Park",,47.567252,-122.629733,,,,,,0
207,1222,"Russell Rd at Oyster Bay Ave",,47.567238,-122.674936,,,,,,0
208,1223,"Oyster Bay at Conch",,47.562181,-122.673256,,,,,,0
209,1224,"Arsenal at Bremerton Blvd",,47.560081,-122.670671,,,,,,0
210,1225,"Arsenal at National",,47.559753,-122.668208,,,,,,0
211,1226,"National at Columbia",,47.561287,-122.667806,,,,,,0
212,1227,"National at 1st - West Sound Tech Skills Center",,47.564331,-122.667694,,,,,,0
213,1228,"Front St at Recreation Center",,47.740774,-122.649432,,,,,,0
214,123,"Sylvan way at Harbel",,47.595563,-122.620033,,,,,,0
216,1232,"Randall Way at NFCU",,47.658459,-122.695724,,,,,,0
217,1235,"Randall Way at Bloodworks",,47.659053,-122.695208,,,,,,0
218,1236,"Charleston Gate (PSNS)",,47.558915,-122.653391,,,,,,0
219,1237,"Geneva at 2nd",,47.733382,-122.554382,,,,,,0
220,1239,"Geneva at Soundview",,47.733429,-122.554228,,,,,,0
